DD/MM/YYYY,latest,open,max,min,volume,% change,,,,,,,,,,,,,
1/04/2022,4.66,4.68,4.7,4.64,15.59M,-0.85%,,,,,,,,,,,,,
31/03/2022,4.7,4.72,4.74,4.68,12.25M,-0.42%,,,,,,,,,,,,,
30/03/2022,4.72,4.72,4.74,4.68,12.35M,0.00%,,,,,,,,,,,,,
29/03/2022,4.72,4.66,4.74,4.64,32.53M,1.72%,,,,,,,,,,,,,
28/03/2022,4.64,4.6,4.64,4.56,13.73M,0.43%,,,,,,,,,,,,,
25/03/2022,4.62,4.72,4.76,4.62,29.58M,-2.12%,,,,,,,,,,,,,
24/03/2022,4.72,4.68,4.72,4.66,15.01M,0.00%,,,,,,,,,,,,,
23/03/2022,4.72,4.68,4.78,4.66,64.97M,1.72%,,,,,,,,,,,,,
22/03/2022,4.64,4.62,4.66,4.58,28.85M,0.43%,,,,,,,,,,,,,
21/03/2022,4.62,4.56,4.68,4.52,35.23M,1.32%,,,,,,,,,,,,,
18/03/2022,4.56,4.44,4.58,4.44,25.70M,2.70%,,,,,,,,,,,,,
17/03/2022,4.44,4.42,4.48,4.4,13.63M,0.45%,,,,,,,,,,,,,
16/03/2022,4.42,4.42,4.46,4.4,9.28M,1.38%,,,,,,,,,,,,,
15/03/2022,4.36,4.38,4.46,4.36,11.13M,0.00%,,,,,,,,,,,,,
14/03/2022,4.36,4.46,4.5,4.36,20.02M,-2.24%,,,,,,,,,,,,,
11/03/2022,4.46,4.42,4.56,4.42,24.22M,0.00%,,,,,,,,,,,,,
10/03/2022,4.46,4.54,4.62,4.46,23.61M,-1.76%,,,,,,,,,,,,,
9/03/2022,4.54,4.42,4.54,4.36,30.57M,3.65%,,,,,,,,,,,,,
8/03/2022,4.38,4.34,4.42,4.24,27.76M,0.00%,,,,,,,,,,,,,
7/03/2022,4.38,4.48,4.48,4.34,22.02M,-2.67%,,,,,,,,,,,,,
4/03/2022,4.5,4.56,4.62,4.5,20.81M,-2.17%,,,,,,,,,,,,,
3/03/2022,4.6,4.58,4.64,4.54,24.42M,0.44%,,,,,,,,,,,,,
2/03/2022,4.58,4.6,4.7,4.58,29.76M,-0.43%,,,,,,,,,,,,,
1/03/2022,4.6,4.68,4.7,4.6,30.86M,-1.71%,,,,,,,,,,,,,
28/02/2022,4.68,4.6,4.7,4.52,58.44M,1.74%,,,,,,,,,,,,,
25/02/2022,4.6,4.52,4.66,4.42,83.67M,2.68%,,,,,,,,,,,,,
24/02/2022,4.48,4.44,4.52,4.32,156.94M,4.19%,,,,,,,,,,,,,
23/02/2022,4.3,4.26,4.32,4.22,17.03M,1.42%,,,,,,,,,,,,,
22/02/2022,4.24,4.28,4.3,4.2,21.98M,-0.93%,,,,,,,,,,,,,
21/02/2022,4.28,4.32,4.36,4.28,10.83M,-0.93%,,,,,,,,,,,,,
18/02/2022,4.32,4.36,4.38,4.3,25.25M,-0.92%,,,,,,,,,,,,,
17/02/2022,4.36,4.38,4.42,4.32,29.29M,0.93%,,,,,,,,,,,,,
15/02/2022,4.32,4.26,4.36,4.26,25.18M,1.89%,,,,,,,,,,,,,
14/02/2022,4.24,4.3,4.3,4.22,17.27M,-1.85%,,,,,,,,,,,,,
11/02/2022,4.32,4.34,4.36,4.3,9.55M,-0.46%,,,,,,,,,,,,,
10/02/2022,4.34,4.36,4.38,4.3,20.74M,0.00%,,,,,,,,,,,,,
9/02/2022,4.34,4.42,4.44,4.32,27.33M,-1.81%,,,,,,,,,,,,,
8/02/2022,4.42,4.42,4.44,4.4,13.00M,0.45%,,,,,,,,,,,,,
7/02/2022,4.4,4.44,4.44,4.38,46.61M,-0.45%,,,,,,,,,,,,,
4/02/2022,4.42,4.52,4.52,4.42,34.60M,-2.21%,,,,,,,,,,,,,
3/02/2022,4.52,4.56,4.58,4.5,16.00M,-0.44%,,,,,,,,,,,,,
2/02/2022,4.54,4.5,4.58,4.5,22.61M,0.89%,,,,,,,,,,,,,
1/02/2022,4.5,4.52,4.52,4.46,15.40M,-0.44%,,,,,,,,,,,,,
31/01/2022,4.52,4.46,4.56,4.46,21.12M,1.35%,,,,,,,,,,,,,
28/01/2022,4.46,4.42,4.5,4.4,21.54M,1.36%,,,,,,,,,,,,,
27/01/2022,4.4,4.44,4.5,4.4,24.52M,-1.79%,,,,,,,,,,,,,
26/01/2022,4.48,4.44,4.52,4.42,18.89M,0.90%,,,,,,,,,,,,,
25/01/2022,4.44,4.5,4.54,4.42,28.33M,-0.89%,,,,,,,,,,,,,
24/01/2022,4.48,4.54,4.56,4.48,10.90M,-2.18%,,,,,,,,,,,,,
21/01/2022,4.58,4.48,4.58,4.36,100.39M,1.78%,,,,,,,,,,,,,
20/01/2022,4.5,4.54,4.6,4.48,23.43M,-0.88%,,,,,,,,,,,,,
19/01/2022,4.54,4.54,4.58,4.5,26.26M,0.44%,,,,,,,,,,,,,
18/01/2022,4.52,4.54,4.6,4.48,59.76M,0.00%,,,,,,,,,,,,,
17/01/2022,4.52,4.52,4.6,4.5,38.14M,0.00%,,,,,,,,,,,,,
14/01/2022,4.52,4.52,4.6,4.5,61.93M,0.00%,,,,,,,,,,,,,
13/01/2022,4.52,4.52,4.54,4.48,35.71M,0.00%,,,,,,,,,,,,,
12/01/2022,4.52,4.64,4.64,4.48,110.11M,-2.16%,,,,,,,,,,,,,
